date,Topic,Topic #01
2020-09-08,idol kids,
2020-09-08,vacuna coronavirus,
2020-09-08,kids bano lagrimas,
2020-09-08,hijo cargo,
2020-09-08,exito steve,
2020-09-08,pactaran cierre,
2020-09-08,madrid empieza,
2020-09-08,mujer marido hijo,
2020-09-08,milagrosa negacionistas,
2020-09-08,senala interes personal,
2020-09-08,casa nuevo,
2020-09-08,colegios coronavirus,
2020-09-08,vacuna espana,
2020-09-08,tres veces,
2020-09-08,jauria obra,
2020-09-08,christian galvez nuevo,
2020-09-08,traves desague edificio,
2020-09-08,diez instituciones pendientes,
2020-09-08,boom tener,
2020-09-08,recibira primero vacuna,
2020-09-07,sanidad notifica,
2020-09-07,gobierno lleva,
2020-09-07,hacer frente,
2020-09-07,navalni sale coma,
2020-09-07,instruccion hacer frente,
2020-09-07,navalni sale,
2020-09-07,djokovic descalificado,
2020-09-07,tres millones dosis,
2020-09-07,tres millones,
2020-09-07,sale coma,
2020-09-07,responde estimulos,
2020-09-07,descalificado open,
2020-09-07,espana podria,
2020-09-07,instruccion hacer,
2020-09-07,vinculos fuenlabrada,
2020-09-07,millones dosis,
2020-09-07,djokovic descalificado open,
2020-09-07,hacer frente okupacion,
2020-09-07,dictara instruccion hacer,
2020-09-07,frente okupacion,
2020-09-06,fase delicada,
2020-09-06,positivo test,
2020-09-06,ingresado coronavirus,
2020-09-06,berlusconi ingresado coronavirus,
2020-09-06,berlusconi ingresado,
2020-09-06,bebes mayor incidencia,
2020-09-06,bilbao denuncia,
2020-09-06,aplastado barco muelle,
2020-09-06,junta cierra escuela,
2020-09-06,imagenes satelite,
2020-09-06,incidencia covid19 madrid,
2020-09-06,denuncia muerte,
2020-09-06,junta cierra,
2020-09-06,barco muelle,
2020-09-06,covid19 madrid,
2020-09-06,positivo coronavirus,
2020-09-06,guardias civiles,
2020-09-06,madrid someterse tras,
2020-09-06,joven condenado,
2020-09-06,coronavirus encuentran fase,
2020-09-05,septiembre dos mil veinte,
2020-09-05,vuelta cole,
2020-09-05,caixabank bankia,
2020-09-05,fernandez diaz,
2020-09-05,fusion caixabank,
2020-09-05,fusion caixabank bankia,
2020-09-05,igor gonzalez,
2020-09-05,muerto celda,
2020-09-05,anos tras,
2020-09-05,viernes septiembre dos mil veinte,
2020-09-05,tamara falco,
2020-09-05,menos euros,
2020-09-05,viernes septiembre,
2020-09-05,preso igor gonzalez,
2020-09-05,preso igor,
2020-09-05,gonzalez sola,
2020-09-05,igor gonzalez sola,
2020-09-05,enrique ponce,
2020-09-05,hallan muerto celda,
2020-09-05,nacional cinematografia,
2020-09-04,caixabank bankia,
2020-09-04,deberia recibir primero,
2020-09-04,deberia recibir,
2020-09-04,atencion cliente,
2020-09-04,banco espana,
2020-09-04,bonet denuncia,
2020-09-04,millones casos,
2020-09-04,contagio coronavirus,
2020-09-04,recibir primero,
2020-09-04,caixabank bankia estudian,
2020-09-04,millones casos covid19,
2020-09-04,vacuna covid19 haya,
2020-09-04,vacuna covid19,
2020-09-04,paula bonet,
2020-09-04,vacuna coronavirus,
2020-09-04,primero vacuna covid19,
2020-09-04,bankia estudian,
2020-09-04,municipales madrid,
2020-09-04,mesa dialogo,
2020-09-04,consumo prohibira,
2020-09-03,tercer grado,
2020-09-03,mesa dialogo,
2020-09-03,leyenda urbana,
2020-09-03,ultimas horas,
2020-09-03,concede tercer grado,
2020-09-03,buch chacon,
2020-09-03,hermann tertsch,
2020-09-03,anos despues,
2020-09-03,concede tercer,
2020-09-03,metro madrid,
2020-09-03,nueva york,
2020-09-03,flash amazon,
2020-09-03,urdangarin destaca,
2020-09-03,policial nueva,
2020-09-03,fundacion banco santander,
2020-09-03,cadaveres cinco,
2020-09-03,hacer cuarentena,
2020-09-03,hallan cadaveres cinco,
2020-09-03,banco santander,
2020-09-03,joaquin prat,
2020-09-02,paro sube,
2020-09-02,iglesias contradice,
2020-09-02,sanidad notifica,
2020-09-02,erick morillo,
2020-09-02,religin islmica,
2020-09-02,agosto personas,
2020-09-02,nuevo curso,
2020-09-02,padre messi,
2020-09-02,comunitat valenciana,
2020-09-02,positivo coronavirus,
2020-09-02,martn villa,
2020-09-02,cartel patria,
2020-09-02,negociar presupuestos,
2020-09-02,covid educacin,
2020-09-02,ltimas horas,
2020-09-02,religin islmica escuelas,
2020-09-02,casos covid19,
2020-09-02,islmica escuelas,
2020-09-02,agresin sexual,
2020-09-02,hace casi,
2020-09-01,linfoma hodgkin,
2020-09-01,carla suarez,
2020-09-01,borrador teletrabajo,
2020-09-01,suarez anuncia,
2020-09-01,carla suarez anuncia,
2020-09-01,trump compara policias,
2020-09-01,roberto leal,
2020-09-01,compara policias disparan,
2020-09-01,policias disparan,
2020-09-01,alternativa sgae,
2020-09-01,compara policias,
2020-09-01,padece linfoma,
2020-09-01,gobierno pnvpse,
2020-09-01,menos euros,
2020-09-01,trump compara,
2020-09-01,suma nuevos,
2020-09-01,suarez anuncia padece,
2020-09-01,coalicion gobierno,
2020-09-01,confinamiento beniganim,
2020-09-01,padece linfoma hodgkin,
2020-08-30,vuelta cole,
2020-08-30,casos coronavirus,
2020-08-30,empiezan retrasar escalonar,
2020-08-30,escalonar calendario vuelta,
2020-08-30,calendario vuelta,
2020-08-30,moviles ministros,
2020-08-30,hackeo moviles ministros,
2020-08-30,escalonar calendario,
2020-08-30,policias leon,
2020-08-30,moncloa investigan hackeo,
2020-08-30,fiesta ilegal,
2020-08-30,calendario vuelta cole,
2020-08-30,investigan hackeo moviles,
2020-08-30,investigan hackeo,
2020-08-30,retrasar escalonar,
2020-08-30,guardia civil,
2020-08-30,retrasar escalonar calendario,
2020-08-30,empiezan retrasar,
2020-08-30,moncloa investigan,
2020-08-30,chadwick boseman,
2020-09-09,vuelta cole,
2020-09-09,pedro sanchez,
2020-09-09,ensayos vacuna,
2020-09-09,millones euros,
2020-09-09,nuevos contagios,
2020-09-09,nobel dos mil veintiuno,
2020-09-09,violencia genero,
2020-09-09,seis anos,
2020-09-09,herrera renueva cope,
2020-09-09,deficit seguridad social,
2020-09-09,pablo iglesias,
2020-09-09,herrera renueva,
2020-09-09,seguridad social,
2020-09-09,vacuna covid19,
2020-09-09,virus nilo,
2020-09-09,carlos herrera,
2020-09-09,atletico madrid,
2020-09-09,renueva cope,
2020-09-09,carlos herrera renueva,
2020-09-09,deficit seguridad,
2020-09-10,pedro sanchez,
2020-09-10,paco lucia,
2020-09-10,vuelta cole,
2020-09-10,pablo motos,
2020-09-10,chimy avila,
2020-09-10,mocion censura,
2020-09-10,copa africa,
2020-09-10,trofeo copa,
2020-09-10,pacientes hospitalizados,
2020-09-10,gane primeros,
