date,Topic #01,Topic
2020-09-09,border restrictions,
2020-09-09,fire season,
2020-09-09,serena williams takes,
2020-09-09,activist maria,
2020-09-09,tsvetana pironkova open,
2020-09-09,breathing feels,
2020-09-09,feels like,
2020-09-09,covid19 nearly destroyed,
2020-09-09,resists effort,
2020-09-09,open quarterfinal,
2020-09-09,,border restrictions
2020-09-09,,confirm atrocities
2020-09-09,,california breathing feels
2020-09-09,,pironkova open quarterfinal
2020-09-09,,season california breathing
2020-09-09,,like luxury
2020-09-09,,myanmar army
2020-09-09,,bachelor australia two thousand and twenty
2020-09-09,,childcare industryand might
2020-09-09,,california breathing
2020-09-10,,covid19 vaccine
2020-09-10,,make victims
2020-09-10,,leichhardt oval farewell
2020-09-10,,burglar jordan constable
2020-09-10,,scott footage
2020-09-10,,marshall leichhardt oval
2020-09-10,,revealed charges
2020-09-10,,footage star
2020-09-10,,police revealed charges
2020-09-10,,ronald khalis bell
