,num_topic,topic,user,location,language,retweet_count,followers_count,geo_location,created_at,compound,neg,neu,pos
0,1,pedro sanchez,maria1977g,,es,3741,9,,2020-09-10 07:32:31,0.34,0.0,0.906,0.094
1,1,pedro sanchez,MarcosLzaro,"Pamplona, Navarra",es,3273,363,,2020-09-10 07:32:29,0.0936,0.065,0.859,0.076
2,1,pedro sanchez,tanizfa,,es,86,1212,,2020-09-10 07:32:29,0.0,0.0,1.0,0.0
3,1,pedro sanchez,CaraEstaca20,edtropolis ,es,75,2926,,2020-09-10 07:32:28,0.0,0.0,1.0,0.0
4,1,pedro sanchez,juanchojuez,,es,40,8,,2020-09-10 07:32:25,0.34,0.0,0.912,0.088
5,1,pedro sanchez,annagavito10,,es,156,1272,,2020-09-10 07:32:20,-0.296,0.099,0.901,0.0
6,1,pedro sanchez,_MAD_Warrior_14,España,es,18,7620,,2020-09-10 07:32:17,0.0,0.0,1.0,0.0
7,1,pedro sanchez,gnsht,vlc,es,3,797,,2020-09-10 07:32:17,0.0,0.0,1.0,0.0
8,1,pedro sanchez,EricRogal,,es,86,972,,2020-09-10 07:32:09,0.0,0.0,1.0,0.0
9,1,pedro sanchez,VoxArganda,"Arganda del Rey, Spain",es,86,2002,,2020-09-10 07:32:07,0.0,0.0,1.0,0.0
10,1,pedro sanchez,lourdescr3,Enlace C.S.E Podemos Cannabico,es,3,1263,,2020-09-10 07:32:05,0.0,0.0,1.0,0.0
11,1,pedro sanchez,juancvalverde,"Chamartín, Madrid",es,1188,125,,2020-09-10 07:32:05,0.0,0.0,1.0,0.0
12,1,pedro sanchez,pamplinas371,,es,761,42,,2020-09-10 07:32:04,0.0,0.0,1.0,0.0
13,1,pedro sanchez,galileahejlt,"Toronto, Ontario",es,367,539,,2020-09-10 07:32:03,0.0,0.0,1.0,0.0
14,1,pedro sanchez,lenayarena,,es,9,30,,2020-09-10 07:32:00,0.0,0.0,1.0,0.0
15,1,pedro sanchez,Cs_Cordoba,Córdoba,es,9,4604,,2020-09-10 07:31:59,0.0,0.0,1.0,0.0
16,1,pedro sanchez,Isisrod04210028,"Almería, España",es,28,67,,2020-09-10 07:31:56,0.34,0.0,0.909,0.091
17,1,pedro sanchez,_MAD_Warrior_14,España,es,61,7620,,2020-09-10 07:31:55,0.0,0.0,1.0,0.0
18,1,pedro sanchez,ngelSerrano3,,es,761,82,,2020-09-10 07:31:55,0.0,0.0,1.0,0.0
19,1,pedro sanchez,ferraposo1,,es,0,17,,2020-09-10 07:31:55,0.0,0.0,1.0,0.0
20,1,pedro sanchez,ordonez_casado,"Málaga, España",es,3595,1,,2020-09-10 07:31:52,0.34,0.0,0.893,0.107
21,1,pedro sanchez,pacomarhuenda,España,es,0,268254,,2020-09-10 07:31:52,-0.296,0.062,0.937,0.0
22,1,pedro sanchez,Miguel914PM,Leganés/Madrid,es,12042,401,,2020-09-10 07:31:50,-0.296,0.084,0.916,0.0
23,1,pedro sanchez,mercedescarsal,,es,57,400,,2020-09-10 07:31:45,0.0,0.0,1.0,0.0
24,1,pedro sanchez,AdamezFelix,,es,298,1366,,2020-09-10 07:31:44,0.0,0.0,1.0,0.0
25,1,pedro sanchez,sarcosyus,"Zaragoza, España",es,3741,7,,2020-09-10 07:31:41,0.34,0.0,0.906,0.094
26,1,pedro sanchez,GuillezingerZ,"Madrid, España",es,0,14,,2020-09-10 07:31:40,-0.4019,0.065,0.935,0.0
27,1,pedro sanchez,juanjos64733815,,es,1,636,,2020-09-10 07:31:37,0.0516,0.102,0.787,0.111
28,1,pedro sanchez,JSinfuselaje,"Santa Cruz de Tenerife, España",es,86,94,,2020-09-10 07:31:36,0.0,0.0,1.0,0.0
29,1,pedro sanchez,carlosmesquida5,,es,0,409,,2020-09-10 07:31:32,-0.3595,0.091,0.909,0.0
30,1,pedro sanchez,jollyjumper69,,es,0,297,,2020-09-10 07:31:32,0.0,0.0,1.0,0.0
31,1,pedro sanchez,pepitamena,,es,0,304,,2020-09-10 07:31:32,-0.6289,0.107,0.893,0.0
