,num_topic,topic,user,location,language,retweet_count,followers_count,geo_location,created_at,compound,neg,neu,pos
0,1,covid19 vaccine,yagbebi,Über Cool Home Counties-Europe,en,0,4441,,2020-09-10 08:03:21,0.8625,0.041,0.747,0.213
1,1,covid19 vaccine,MsReady1,,en,45,137,,2020-09-10 08:03:19,-0.2732,0.091,0.909,0.0
2,1,covid19 vaccine,billmaybed,Kent,en,1,12,,2020-09-10 08:03:04,-0.8625,0.236,0.764,0.0
3,1,covid19 vaccine,sylvielogean,"Lausanne, Suisse",en,1,834,,2020-09-10 08:02:51,-0.0387,0.071,0.929,0.0
4,1,covid19 vaccine,john_castledine,"Leeds, England",en,0,672,,2020-09-10 08:02:27,0.8213,0.0,0.823,0.177
5,1,covid19 vaccine,alfiansibarani,,en,0,962,,2020-09-10 08:02:25,0.0,0.0,1.0,0.0
6,1,covid19 vaccine,isaket__,up India,en,13,715,,2020-09-10 08:02:17,0.8402,0.0,0.645,0.355
7,1,covid19 vaccine,janmajit007,,en,13,2050,,2020-09-10 08:02:01,0.8402,0.0,0.645,0.355
8,1,covid19 vaccine,apazvilar,,en,572,21,,2020-09-10 08:01:50,0.8807,0.0,0.641,0.359
9,1,covid19 vaccine,KalyanDevi,,en,38,833,,2020-09-10 08:01:49,0.0,0.0,1.0,0.0
10,1,covid19 vaccine,sincerely_epic,India,en,13,3707,,2020-09-10 08:01:48,0.8402,0.0,0.645,0.355
11,1,covid19 vaccine,syawal,,en,3,2743,,2020-09-10 08:01:17,0.0,0.0,1.0,0.0
12,1,covid19 vaccine,NKTSci,"Newmarket, England",en,3,203,,2020-09-10 08:01:05,0.0,0.0,1.0,0.0
13,1,covid19 vaccine,Labiotech_eu,"Berlin, Germany",en,0,31569,,2020-09-10 08:01:04,-0.6956,0.134,0.84,0.026
14,1,covid19 vaccine,SomersetBlue,More than 1m from you!,en,0,995,,2020-09-10 08:00:56,-0.7269,0.165,0.757,0.077
15,1,covid19 vaccine,_Ben_Franklin1,"Philadelphia, London, Paris, ",en,494,4796,,2020-09-10 08:00:55,-0.126,0.073,0.876,0.051
16,1,covid19 vaccine,PhilDeCarolis,"Southern California, U.S.",en,25,3654,,2020-09-10 08:00:26,0.0,0.0,1.0,0.0
17,1,covid19 vaccine,LunaSafwan,Currently Lebanon - Beirut,en,0,19124,,2020-09-10 08:00:18,-0.4215,0.104,0.851,0.045
18,1,covid19 vaccine,thecornerdoteu,Global,en,0,1683,,2020-09-10 08:00:00,-0.3818,0.067,0.933,0.0
19,1,covid19 vaccine,theTiser,"Adelaide, South Australia",en,0,140214,,2020-09-10 08:00:00,-0.3612,0.094,0.906,0.0
20,1,covid19 vaccine,iainwithtwois,"London, England",en,403,85,,2020-09-10 07:59:53,0.0,0.0,1.0,0.0
21,1,covid19 vaccine,raghvendra82,भारत  के दिल से.. ,en,13,4176,,2020-09-10 07:59:50,0.8402,0.0,0.645,0.355
22,1,covid19 vaccine,Vidyaa_Saagar,"Pauri, India",en,13,1264,,2020-09-10 07:59:49,0.8402,0.0,0.645,0.355
23,1,covid19 vaccine,RRITools,Europe,en,3,5251,,2020-09-10 07:59:32,0.128,0.0,0.936,0.064
24,1,covid19 vaccine,iamfahd,On Hubble Telescope,en,0,174,,2020-09-10 07:59:30,0.5859,0.0,0.902,0.098
25,1,covid19 vaccine,UNDP_Pakistan,Islamabad,en,39,82515,,2020-09-10 07:59:08,0.5719,0.0,0.812,0.188
26,1,covid19 vaccine,RichClarkePsy,London (UK),en,3,560,,2020-09-10 07:59:07,0.0,0.0,1.0,0.0
27,1,covid19 vaccine,divyachowdhury,"Mumbai, India",en,0,4857,,2020-09-10 07:58:29,-0.4019,0.065,0.935,0.0
28,1,covid19 vaccine,_JNMishra,भारत ,en,13,10011,,2020-09-10 07:58:21,0.8402,0.0,0.645,0.355
29,1,covid19 vaccine,sadhvi_pandey,India 🇮🇳,en,13,3846,,2020-09-10 07:58:20,0.8402,0.0,0.645,0.355
30,1,covid19 vaccine,mariom,Manchester,en,494,449,,2020-09-10 07:58:19,-0.126,0.073,0.876,0.051
31,1,covid19 vaccine,surly958,Argyll Scotland.,en,45,949,,2020-09-10 07:58:05,-0.2732,0.091,0.909,0.0
32,1,covid19 vaccine,tech2eets,"Mumbai, India",en,0,75405,,2020-09-10 07:57:58,0.0,0.0,1.0,0.0
33,1,covid19 vaccine,claireldonald,"Glasgow, Scotland",en,22,965,,2020-09-10 07:57:49,0.0,0.0,1.0,0.0
34,1,covid19 vaccine,BenjiSeitlhamo,South Africa,en,109,5924,,2020-09-10 07:57:49,0.2023,0.0,0.921,0.079
35,1,covid19 vaccine,AndreaDS0909,"London, England",en,2129,2290,,2020-09-10 07:57:42,0.5367,0.0,0.869,0.131
36,1,covid19 vaccine,martinbarr3,Scotland,en,6,361,,2020-09-10 07:57:41,0.4767,0.0,0.89,0.11
37,1,covid19 vaccine,StavrosTousios,Cyprus,en,0,188,,2020-09-10 07:57:17,0.1027,0.0,0.964,0.036
38,1,covid19 vaccine,wordsofreason_1,"Oviedo, FL",en,186,496,,2020-09-10 07:57:07,0.368,0.0,0.892,0.108
39,1,covid19 vaccine,GrumpybaldProf,Scotland,en,3,530,,2020-09-10 07:56:56,0.0,0.0,1.0,0.0
40,1,covid19 vaccine,TaiChi_John,Earth,en,0,5217,,2020-09-10 07:56:43,0.0,0.0,1.0,0.0
41,1,covid19 vaccine,maritaAS27,"Oakville, ON",en,38,59,,2020-09-10 07:56:28,0.0,0.0,1.0,0.0
42,1,covid19 vaccine,TerryWh20999529,,en,45,166,,2020-09-10 07:55:54,-0.2732,0.091,0.909,0.0
43,1,covid19 vaccine,pbtx,"Lisbon, PORTUGAL",en,109,125,,2020-09-10 07:55:35,0.2023,0.0,0.921,0.079
44,1,covid19 vaccine,Luvstoospooj,England,en,45,3035,,2020-09-10 07:55:29,-0.2732,0.091,0.909,0.0
45,1,covid19 vaccine,RUTHPANTOJA3,,en,18,194,,2020-09-10 07:55:19,0.2144,0.0,0.911,0.089
46,1,covid19 vaccine,KUNWAR_RUDRA_,,en,13,3190,,2020-09-10 07:55:18,0.8402,0.0,0.645,0.355
47,1,covid19 vaccine,kristenjmeagher,"London, England",en,2,159,,2020-09-10 07:55:10,0.0,0.0,1.0,0.0
48,1,covid19 vaccine,AlisonAdam99,Gtr Manchester via Edinburgh,en,572,60,,2020-09-10 07:55:08,0.8807,0.0,0.641,0.359
49,1,covid19 vaccine,r4hcmena,"London, Beirut, Amman, Birzeit & Ankara",en,2,632,,2020-09-10 07:55:06,0.0,0.0,1.0,0.0
50,2,make victims,JadeLevell,"England, United Kingdom",en,20,1440,,2020-09-10 08:03:27,-0.8555,0.29,0.71,0.0
51,2,make victims,DrHennaKarhapaa,Suomi,en,20,139,,2020-09-10 08:01:14,-0.8555,0.29,0.71,0.0
52,2,make victims,goddemian,,en,6,70,,2020-09-10 08:00:09,-0.34,0.091,0.909,0.0
53,2,make victims,peggyuwu,Probably somewhere loving bkdk,en,3,285,,2020-09-10 07:58:46,-0.7885,0.304,0.618,0.078
54,2,make victims,CaitlinKrum,Cornwall,en,20,1119,,2020-09-10 07:58:32,-0.8555,0.29,0.71,0.0
55,2,make victims,taegutiger,Texas,en,166,752,,2020-09-10 07:58:11,-0.8841,0.33,0.67,0.0
56,2,make victims,bego_vilanova,C. Valenciana!,en,30,155,,2020-09-10 07:57:57,-0.4215,0.181,0.748,0.071
57,2,make victims,TwinFlameNetwrk,"Oklahoma, USA",en,0,721,,2020-09-10 07:57:28,-0.7364,0.286,0.636,0.078
58,2,make victims,rokarljosef,,en,6,45,,2020-09-10 07:56:17,0.6486,0.1,0.568,0.332
59,2,make victims,emmsimpson__,,en,20,622,,2020-09-10 07:55:53,-0.8555,0.29,0.71,0.0
60,2,make victims,theleechskiss,,en,20,226,,2020-09-10 07:53:43,-0.8555,0.29,0.71,0.0
61,2,make victims,Unavailss,"Cape Town, South Africa",en,11,1052,,2020-09-10 07:53:01,-0.8225,0.334,0.573,0.092
62,2,make victims,realllllllaziee,Inseocityy  (◍•ᴗ•◍)❤️,en,243,221,,2020-09-10 07:52:45,-0.4588,0.115,0.885,0.0
63,2,make victims,G_tharmaratnam,,en,0,973,,2020-09-10 07:52:05,-0.4215,0.096,0.863,0.041
64,2,make victims,SandyMartung,"Macaé, BR / Portsmouth, UK",en,20,824,,2020-09-10 07:51:47,-0.8555,0.29,0.71,0.0
65,2,make victims,wellingtoneLivn,,en,19,268,,2020-09-10 07:51:09,-0.7096,0.339,0.447,0.214
66,2,make victims,Yumbaldeh1,,en,1,27,,2020-09-10 07:50:27,-0.6908,0.137,0.821,0.042
67,2,make victims,Fiesty_Filly,⭐ Gallifrey ⭐,en,271,1576,,2020-09-10 07:49:51,-0.1027,0.211,0.592,0.197
68,2,make victims,99_ykh,きらめく beach そよぐ tree 甘くなる phrase 夢みたい 夢じゃない ねぇ C'mon! C'mon! (hey!),en,0,90,,2020-09-10 07:49:39,-0.7177,0.139,0.822,0.039
69,2,make victims,2ManyAustriches,Ostralia,en,1,727,,2020-09-10 07:49:12,0.7964,0.0,0.747,0.253
70,2,make victims,AnneTay96516075,,en,20,270,,2020-09-10 07:48:45,-0.8555,0.29,0.71,0.0
71,2,make victims,Bvgare,"Exeter, UK",en,20,1620,,2020-09-10 07:48:38,-0.8555,0.29,0.71,0.0
72,2,make victims,julz_valentine,London,en,20,371,,2020-09-10 07:47:48,-0.8555,0.29,0.71,0.0
73,2,make victims,catrubens,"London, England",en,20,627,,2020-09-10 07:47:03,-0.8555,0.29,0.71,0.0
74,2,make victims,HannahPopsy,"Leeds, England",en,20,17775,,2020-09-10 07:46:43,-0.8555,0.29,0.71,0.0
75,2,make victims,TropDeJambes,Transylvania,en,20,222,,2020-09-10 07:45:55,-0.8555,0.29,0.71,0.0
76,2,make victims,urfavegurlKiki,In this bangtan shit for life,en,87,234,,2020-09-10 07:44:55,-0.6896,0.174,0.826,0.0
77,2,make victims,anneelizzie,"Ponteland, England",en,20,101,,2020-09-10 07:44:38,-0.8555,0.29,0.71,0.0
