,num_topic,topic,user,location,language,retweet_count,followers_count,geo_location,created_at,compound,neg,neu,pos
0,1,romeo elvis,Splee_n,,fr,1969,116,,2020-09-09 20:34:15,0.0,0.0,1.0,0.0
1,1,romeo elvis,mehdi_dee,"Amiens, France",fr,6451,429,,2020-09-09 20:34:14,0.0,0.0,1.0,0.0
2,1,romeo elvis,imaanmnfi,paname,fr,3971,1119,,2020-09-09 20:34:14,0.5994,0.0,0.86,0.14
3,1,romeo elvis,Chloo_hs,,fr,1969,204,,2020-09-09 20:34:12,0.0,0.0,1.0,0.0
4,1,romeo elvis,hopeful_uk,livet er nå ☀️ she/her,fr,1969,1392,,2020-09-09 20:34:12,0.0,0.0,1.0,0.0
5,1,romeo elvis,thirlwallone,insta&tiktok : alexluvsmakeup,fr,594,838,,2020-09-09 20:34:12,-0.128,0.059,0.941,0.0
6,1,romeo elvis,Moombaaa,,fr,3971,89,,2020-09-09 20:34:09,0.5994,0.0,0.86,0.14
7,1,romeo elvis,fuckn_awsm,,fr,1969,609,,2020-09-09 20:34:09,0.0,0.0,1.0,0.0
8,1,romeo elvis,brz_jade,"Strasbourg, France",fr,1969,217,,2020-09-09 20:34:07,0.0,0.0,1.0,0.0
9,1,romeo elvis,Emma_Msso,91,fr,1969,440,,2020-09-09 20:34:07,0.0,0.0,1.0,0.0
10,1,romeo elvis,fallingliness,she/her,fr,1969,4418,,2020-09-09 20:34:04,0.0,0.0,1.0,0.0
11,1,romeo elvis,beeadragon,Winterfell,fr,1969,138,,2020-09-09 20:34:01,0.0,0.0,1.0,0.0
12,1,romeo elvis,marg_lcre,,fr,1969,324,,2020-09-09 20:33:58,0.0,0.0,1.0,0.0
13,1,romeo elvis,agatheklouman,,fr,594,107,,2020-09-09 20:33:58,-0.128,0.059,0.941,0.0
14,1,romeo elvis,sneakyloves,Montpellier,fr,1969,722,,2020-09-09 20:33:56,0.0,0.0,1.0,0.0
15,1,romeo elvis,chl_lrc,,fr,289,376,,2020-09-09 20:33:54,-0.3182,0.113,0.887,0.0
16,1,romeo elvis,deakssz,"Paris, France",fr,35,1836,,2020-09-09 20:33:53,0.0,0.0,1.0,0.0
17,1,romeo elvis,Zivn6_,,fr,11710,401,,2020-09-09 20:33:52,0.0,0.0,1.0,0.0
18,1,romeo elvis,Darck51_Louison,,fr,6451,66,,2020-09-09 20:33:49,0.0,0.0,1.0,0.0
19,1,romeo elvis,lil_snz,"Lille, France",fr,6451,305,,2020-09-09 20:33:48,0.0,0.0,1.0,0.0
20,2,elvis accuse dagression,lesinrocks,,fr,0,1130167,,2020-09-09 20:33:00,0.0,0.0,1.0,0.0
21,2,elvis accuse dagression,ntwalis1,"Montréal, Québec",fr,1,258,,2020-09-09 19:55:54,0.0,0.0,1.0,0.0
22,2,elvis accuse dagression,tvanouvelles,Partout au Québec,fr,1,392393,,2020-09-09 19:49:19,0.0,0.0,1.0,0.0
23,2,elvis accuse dagression,voici,France,fr,0,252543,,2020-09-09 19:42:56,0.0,0.0,1.0,0.0
24,2,elvis accuse dagression,GALAfr,Paris,fr,0,64114,,2020-09-09 19:35:07,0.0,0.0,1.0,0.0
25,2,elvis accuse dagression,jessy_jesssss,France,fr,23,450,,2020-09-09 19:07:48,0.0,0.0,1.0,0.0
26,2,elvis accuse dagression,beninwebtv,,fr,0,5221,,2020-09-09 18:38:59,0.0,0.0,1.0,0.0
27,2,elvis accuse dagression,DParis36,,fr,23,193,,2020-09-09 18:05:04,0.0,0.0,1.0,0.0
28,2,elvis accuse dagression,voici,France,fr,0,252543,,2020-09-09 17:54:07,0.0,0.0,1.0,0.0
29,2,elvis accuse dagression,voici,France,fr,0,252543,,2020-09-09 17:40:06,0.0,0.0,1.0,0.0
30,2,elvis accuse dagression,DanielPilotte1,France,fr,1,18489,,2020-09-09 17:33:25,0.0,0.0,1.0,0.0
31,2,elvis accuse dagression,ay_Lola,"Mexico, Mexique 🇲🇽",fr,0,4550,,2020-09-09 17:25:15,0.0,0.0,1.0,0.0
32,2,elvis accuse dagression,DanielPilotte1,France,fr,1,18489,,2020-09-09 17:20:43,0.0,0.0,1.0,0.0
33,2,elvis accuse dagression,Actualite24FR,Paris,fr,0,3798,,2020-09-09 17:00:15,0.0,0.0,1.0,0.0
34,2,elvis accuse dagression,lsporiii,"Rennes, France",fr,16,1097,,2020-09-09 16:51:06,0.0,0.0,1.0,0.0
35,2,elvis accuse dagression,colasjeremy,"Lyon, France",fr,2,26,,2020-09-09 16:21:46,0.0,0.0,1.0,0.0
36,2,elvis accuse dagression,jadefromparis,Paris,fr,0,4391,,2020-09-09 16:04:47,0.0,0.0,1.0,0.0
37,2,elvis accuse dagression,Pepito12098411,,fr,1,215,,2020-09-09 15:59:27,0.0,0.0,1.0,0.0
38,2,elvis accuse dagression,SimonJe72784580,,fr,3,25,,2020-09-09 15:58:18,0.0,0.0,1.0,0.0
39,2,elvis accuse dagression,CLS2086,"Saint-Cloud, France",fr,0,1998,,2020-09-09 15:50:40,0.0,0.0,1.0,0.0
40,3,dagression sexuelle,lesinrocks,,fr,0,1130167,,2020-09-09 20:33:00,0.0,0.0,1.0,0.0
41,3,dagression sexuelle,ntwalis1,"Montréal, Québec",fr,1,258,,2020-09-09 20:29:41,0.0,0.0,1.0,0.0
42,3,dagression sexuelle,CocoPchon,"Seoul, Republic of Korea",fr,27,519,,2020-09-09 20:28:21,-0.3182,0.126,0.874,0.0
43,3,dagression sexuelle,tvanouvelles,Partout au Québec,fr,1,392393,,2020-09-09 20:28:10,0.0,0.0,1.0,0.0
